WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x30abfdce0> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 0, Loss: 10.517070770263672
Iteration 1, Loss: 9.777156829833984
Iteration 2, Loss: 9.53991985321045
Iteration 3, Loss: 9.224283218383789
Iteration 4, Loss: 9.18604850769043
Iteration 5, Loss: 8.850589752197266
Iteration 6, Loss: 8.666526794433594
Iteration 7, Loss: 8.737885475158691
Iteration 8, Loss: 8.172331809997559
Iteration 9, Loss: 7.876112937927246
Iteration 10, Loss: 7.835883617401123
Iteration 11, Loss: 7.536086559295654
Iteration 12, Loss: 7.5279622077941895
Iteration 13, Loss: 6.847377777099609
Iteration 14, Loss: 6.979918003082275
Iteration 15, Loss: 6.916017055511475
Iteration 16, Loss: 7.112279891967773
Iteration 17, Loss: 6.957701683044434
Iteration 18, Loss: 6.862913131713867
Iteration 19, Loss: 6.386824131011963
Iteration 20, Loss: 6.474510192871094
Iteration 21, Loss: 6.359284400939941
Iteration 22, Loss: 6.507679462432861
Iteration 23, Loss: 6.700462341308594
Iteration 24, Loss: 6.591312885284424
Iteration 25, Loss: 6.39679479598999
Iteration 26, Loss: 6.177036762237549
Iteration 27, Loss: 6.708515644073486
Iteration 28, Loss: 6.481000900268555
Iteration 29, Loss: 6.199057579040527
Iteration 30, Loss: 6.367239475250244
Iteration 31, Loss: 6.460876941680908
Iteration 32, Loss: 6.746464252471924
Iteration 33, Loss: 6.349483013153076
Iteration 34, Loss: 6.585211277008057
Iteration 35, Loss: 6.53084659576416
Iteration 36, Loss: 6.643475532531738
Iteration 37, Loss: 6.258790493011475
Iteration 38, Loss: 6.1763596534729
Iteration 39, Loss: 6.193565368652344
Iteration 40, Loss: 6.323368072509766
Iteration 41, Loss: 5.968051433563232
Iteration 42, Loss: 6.360924243927002
Iteration 43, Loss: 6.872962474822998
Iteration 44, Loss: 6.453493118286133
Iteration 45, Loss: 6.2581610679626465
Iteration 46, Loss: 6.534896373748779
Iteration 47, Loss: 6.895404815673828
Iteration 48, Loss: 6.373032093048096
Iteration 49, Loss: 6.465633392333984
Iteration 50, Loss: 6.169913291931152
