WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x3117ac990> >
DONE
WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x3117aca50> >
DONE
TINYSTORIES DATASET LOADED...
Rank 2 | Iteration 0 | Training in Progress...
Iteration 0, Loss: 10.517070770263672
Iteration 1, Loss: 9.766342163085938
Iteration 2, Loss: 9.567436218261719
Iteration 3, Loss: 9.37014389038086
Iteration 4, Loss: 9.193830490112305
Iteration 5, Loss: 8.856544494628906
Iteration 6, Loss: 8.670781135559082
Iteration 7, Loss: 8.735679626464844
Iteration 8, Loss: 8.150790214538574
Iteration 9, Loss: 7.861904144287109
Iteration 10, Loss: 7.810094833374023
Iteration 11, Loss: 7.519920825958252
Iteration 12, Loss: 7.50683069229126
Iteration 13, Loss: 6.840742588043213
Iteration 14, Loss: 6.969614028930664
Iteration 15, Loss: 6.90114164352417
Iteration 16, Loss: 7.104297637939453
Iteration 17, Loss: 6.946547985076904
Iteration 18, Loss: 6.865747928619385
Iteration 19, Loss: 6.384466171264648
Iteration 20, Loss: 6.472582817077637
Iteration 21, Loss: 6.3583149909973145
Iteration 22, Loss: 6.506499767303467
Iteration 23, Loss: 6.700385570526123
Iteration 24, Loss: 6.58329439163208
Iteration 25, Loss: 6.380946159362793
Iteration 26, Loss: 6.169789791107178
Iteration 27, Loss: 6.706486225128174
Iteration 28, Loss: 6.477933883666992
Iteration 29, Loss: 6.194549083709717
Iteration 30, Loss: 6.371636390686035
Iteration 31, Loss: 6.44946813583374
Iteration 32, Loss: 6.7428998947143555
Iteration 33, Loss: 6.354372024536133
Iteration 34, Loss: 6.597029209136963
Iteration 35, Loss: 6.528505802154541
Iteration 36, Loss: 6.640676975250244
Iteration 37, Loss: 6.260455131530762
Iteration 38, Loss: 6.174992084503174
Iteration 39, Loss: 6.195402145385742
Iteration 40, Loss: 6.32167387008667
Iteration 41, Loss: 5.970532417297363
Iteration 42, Loss: 6.356695175170898
Iteration 43, Loss: 6.8663716316223145
Iteration 44, Loss: 6.453125953674316
Iteration 45, Loss: 6.258249282836914
Iteration 46, Loss: 6.5277814865112305
Iteration 47, Loss: 6.897445201873779
Iteration 48, Loss: 6.378800392150879
Iteration 49, Loss: 6.464775085449219
Iteration 50, Loss: 6.171427249908447
Iteration 51, Loss: 6.297352313995361
Iteration 52, Loss: 6.211401462554932
Iteration 53, Loss: 6.419883728027344
Iteration 54, Loss: 6.753532886505127
Iteration 55, Loss: 6.455416202545166
Iteration 56, Loss: 6.177093982696533
Iteration 57, Loss: 5.725956439971924
Iteration 58, Loss: 6.193458080291748
Iteration 59, Loss: 6.282688140869141
Iteration 60, Loss: 6.347072601318359
Iteration 61, Loss: 6.144671440124512
Iteration 62, Loss: 6.357817649841309
Iteration 63, Loss: 6.230159759521484
Iteration 64, Loss: 6.614536762237549
Iteration 65, Loss: 6.333005428314209
Iteration 66, Loss: 6.392220973968506
Iteration 67, Loss: 6.048014163970947
Iteration 68, Loss: 6.308541774749756
Iteration 69, Loss: 6.300075054168701
Iteration 70, Loss: 6.082089424133301
Iteration 71, Loss: 6.261649131774902
Iteration 72, Loss: 6.813806533813477
Iteration 73, Loss: 6.913694381713867
Iteration 74, Loss: 6.216503143310547
Iteration 75, Loss: 6.2594895362854
Iteration 76, Loss: 6.241232872009277
Iteration 77, Loss: 6.544697284698486
