WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x314a21d10> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 0, Loss: 10.550825119018555
Iteration 1, Loss: 10.169031143188477
Iteration 2, Loss: 9.407768249511719
Iteration 3, Loss: 9.213942527770996
Iteration 4, Loss: 9.149558067321777
Iteration 5, Loss: 8.817848205566406
Iteration 6, Loss: 8.813823699951172
Iteration 7, Loss: 8.153388023376465
Iteration 8, Loss: 8.410905838012695
Iteration 9, Loss: 7.960422992706299
Iteration 10, Loss: 7.920532703399658
Iteration 11, Loss: 7.579687595367432
Iteration 12, Loss: 7.571503639221191
Iteration 13, Loss: 7.499286651611328
Iteration 14, Loss: 6.910185813903809
Iteration 15, Loss: 6.866161823272705
Iteration 16, Loss: 7.052864074707031
Iteration 17, Loss: 6.962228775024414
Iteration 18, Loss: 6.452075004577637
Iteration 19, Loss: 7.056869983673096
Iteration 20, Loss: 6.517434120178223
Iteration 21, Loss: 6.802578449249268
Iteration 22, Loss: 6.93441104888916
Iteration 23, Loss: 6.6635589599609375
Iteration 24, Loss: 6.358063220977783
Iteration 25, Loss: 6.573736190795898
Iteration 26, Loss: 6.4479570388793945
Iteration 27, Loss: 6.431922435760498
Iteration 28, Loss: 6.152909755706787
Iteration 29, Loss: 6.19215726852417
Iteration 30, Loss: 6.6799774169921875
Iteration 31, Loss: 6.448984622955322
Iteration 32, Loss: 6.12113094329834
Iteration 33, Loss: 5.99806547164917
Iteration 34, Loss: 6.159195423126221
Iteration 35, Loss: 6.383124828338623
Iteration 36, Loss: 6.4203901290893555
Iteration 37, Loss: 6.630563259124756
Iteration 38, Loss: 6.188140869140625
Iteration 39, Loss: 6.308553695678711
Iteration 40, Loss: 6.603923320770264
Iteration 41, Loss: 6.089858055114746
Iteration 42, Loss: 6.050103664398193
Iteration 43, Loss: 7.019144535064697
Iteration 44, Loss: 6.463448524475098
Iteration 45, Loss: 6.140818119049072
Iteration 46, Loss: 6.064733505249023
Iteration 47, Loss: 6.113752841949463
Iteration 48, Loss: 5.974295616149902
Iteration 49, Loss: 6.750426769256592
Iteration 50, Loss: 6.685496807098389
Iteration 51, Loss: 6.2270917892456055
Iteration 52, Loss: 6.485599994659424
Iteration 53, Loss: 6.18293571472168
Iteration 54, Loss: 6.565121650695801
Iteration 55, Loss: 6.787539005279541
Iteration 56, Loss: 6.50173282623291
Iteration 57, Loss: 6.506106376647949
Iteration 58, Loss: 6.419984817504883
Iteration 59, Loss: 5.968001365661621
Iteration 60, Loss: 5.846322536468506
Iteration 61, Loss: 6.33170747756958
Iteration 62, Loss: 6.118959426879883
Iteration 63, Loss: 6.644484043121338
Iteration 64, Loss: 7.160301685333252
Iteration 65, Loss: 6.825510025024414
Iteration 66, Loss: 6.373574256896973
